FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
26/1/2021, 11:50:29, 43.220581, -2.017603, 9, 121, 435, 11.07, 1015.76, -89.12, 492, 14, 67.00, 10.80, 21188, 0
26/1/2021, 11:50:48, 43.220585, -2.017597, 10, 121, 444, 10.95, 1015.73, -88.88, 480, 12, 68.50, 11.00, 21145, 0
26/1/2021, 11:51:7, 43.220589, -2.017606, 10, 107, 456, 10.90, 1015.76, -89.08, 492, 14, 69.40, 10.70, 23962, 1
26/1/2021, 11:51:26, 43.220592, -2.017612, 10, 106, 468, 10.94, 1015.75, -88.99, 492, 14, 69.70, 10.60, 22717, 0
26/1/2021, 11:51:45, 43.220592, -2.017620, 9, 115, 479, 10.90, 1015.75, -88.98, 503, 15, 68.60, 10.60, 21852, 0
26/1/2021, 11:52:4, 43.220589, -2.017616, 10, 106, 486, 11.00, 1015.71, -88.69, 534, 20, 66.10, 10.70, 23210, 0
26/1/2021, 11:52:23, 43.220589, -2.017619, 10, 106, 497, 11.16, 1015.72, -88.76, 534, 20, 66.90, 11.00, 22290, 0
26/1/2021, 11:52:42, 43.220589, -2.017616, 10, 106, 506, 11.31, 1015.69, -88.51, 530, 19, 66.10, 11.20, 22300, 0
26/1/2021, 11:53:1, 43.220592, -2.017619, 10, 105, 517, 11.00, 1015.75, -89.02, 501, 15, 66.80, 11.40, 21366, 0
26/1/2021, 11:53:20, 43.220592, -2.017613, 10, 104, 529, 10.99, 1015.69, -88.48, 518, 17, 66.10, 11.00, 21478, 0
26/1/2021, 11:53:39, 43.220592, -2.017611, 10, 104, 538, 11.00, 1015.66, -88.26, 497, 14, 66.20, 11.20, 22041, 1
26/1/2021, 11:53:58, 43.220596, -2.017598, 10, 105, 550, 10.93, 1015.74, -88.95, 492, 14, 67.40, 10.90, 22397, 0
26/1/2021, 11:54:17, 43.220596, -2.017598, 9, 117, 564, 10.98, 1015.64, -88.06, 503, 15, 68.30, 10.90, 29165, 1
26/1/2021, 11:54:36, 43.220592, -2.017597, 9, 117, 572, 11.04, 1015.65, -88.19, 482, 12, 68.40, 11.00, 28940, 1
26/1/2021, 11:54:55, 43.220592, -2.017599, 9, 117, 587, 11.22, 1015.71, -88.67, 518, 17, 67.80, 11.10, 25760, 0
26/1/2021, 11:55:14, 43.220585, -2.017601, 10, 116, 595, 11.28, 1015.68, -88.46, 503, 15, 66.60, 11.20, 24448, 1
26/1/2021, 11:55:33, 43.220585, -2.017605, 9, 116, 602, 11.21, 1015.65, -88.14, 503, 15, 65.30, 11.20, 25887, 1
26/1/2021, 11:55:52, 43.220585, -2.017600, 10, 104, 613, 11.34, 1015.67, -88.37, 524, 18, 65.00, 11.20, 27039, 1
26/1/2021, 11:56:11, 43.220589, -2.017599, 10, 104, 626, 11.41, 1015.67, -88.37, 530, 19, 68.00, 11.50, 25884, 1
26/1/2021, 11:56:30, 43.220589, -2.017601, 10, 103, 634, 11.25, 1015.65, -88.19, 501, 15, 68.10, 11.80, 24722, 0
26/1/2021, 11:56:49, 43.220592, -2.017595, 9, 115, 647, 11.13, 1015.67, -88.32, 486, 13, 65.80, 12.00, 23854, 1
26/1/2021, 11:57:8, 43.220592, -2.017606, 10, 104, 656, 10.85, 1015.71, -88.65, 501, 15, 63.80, 11.20, 22967, 0
26/1/2021, 11:57:27, 43.220596, -2.017616, 9, 114, 668, 11.08, 1015.74, -88.96, 492, 14, 65.20, 11.20, 24020, 1
26/1/2021, 11:57:46, 43.220592, -2.017617, 10, 103, 679, 11.20, 1015.66, -88.23, 492, 14, 66.40, 11.10, 23992, 0
26/1/2021, 11:58:5, 43.220589, -2.017606, 10, 103, 688, 11.22, 1015.68, -88.42, 480, 12, 68.30, 11.20, 22250, 0
26/1/2021, 11:58:24, 43.220585, -2.017596, 10, 103, 699, 11.04, 1015.72, -88.76, 486, 13, 69.60, 11.00, 24065, 0
26/1/2021, 11:58:43, 43.220589, -2.017604, 9, 113, 714, 11.12, 1015.67, -88.31, 480, 12, 67.10, 11.00, 22749, 0
26/1/2021, 11:59:2, 43.220585, -2.017606, 10, 113, 721, 11.04, 1015.67, -88.30, 480, 12, 69.40, 10.90, 32406, 1
26/1/2021, 11:59:21, 43.220585, -2.017612, 9, 113, 737, 11.13, 1015.68, -88.39, 486, 13, 68.80, 10.90, -31641, 1
26/1/2021, 11:59:40, 43.220581, -2.017610, 9, 113, 746, 11.26, 1015.69, -88.53, 482, 12, 68.20, 11.10, 0, 1
26/1/2021, 11:59:59, 43.220585, -2.017611, 9, 112, 758, 11.17, 1015.66, -88.25, 497, 14, 67.40, 11.50, 29247, 1
26/1/2021, 12:0:18, 43.220585, -2.017604, 10, 101, 762, 11.39, 1015.70, -88.58, 501, 15, 65.70, 11.50, 30812, 1
26/1/2021, 12:0:37, 43.220585, -2.017607, 9, 107, 775, 11.40, 1015.68, -88.44, 497, 14, 66.40, 11.60, 26000, 1
26/1/2021, 12:0:56, 43.220585, -2.017607, 9, 112, 791, 11.55, 1015.62, -87.93, 524, 18, 64.00, 11.90, 23758, 0
26/1/2021, 12:1:15, 43.220581, -2.017611, 10, 100, 796, 11.75, 1015.64, -88.11, 530, 19, 63.70, 12.20, 24776, 0
26/1/2021, 12:1:34, 43.220585, -2.017612, 10, 100, 805, 11.73, 1015.64, -88.06, 524, 18, 63.00, 12.20, 25150, 1
26/1/2021, 12:1:53, 43.220585, -2.017611, 10, 100, 815, 11.75, 1015.62, -87.95, 530, 19, 63.50, 12.50, 24101, 1
26/1/2021, 12:2:12, 43.220589, -2.017614, 10, 100, 828, 11.90, 1015.62, -87.93, 534, 20, 64.00, 12.50, 23713, 0
26/1/2021, 12:2:31, 43.220592, -2.017609, 10, 101, 840, 11.96, 1015.65, -88.18, 537, 20, 63.80, 12.50, 24951, 1
26/1/2021, 12:2:50, 43.220589, -2.017600, 10, 99, 849, 12.13, 1015.63, -88.03, 615, 32, 62.60, 12.40, 26037, 1
26/1/2021, 12:3:9, 43.220592, -2.017608, 10, 99, 857, 12.06, 1015.65, -88.14, 588, 28, 63.70, 12.40, 23793, 1
26/1/2021, 12:3:28, 43.220592, -2.017609, 10, 99, 870, 12.10, 1015.68, -88.39, 596, 29, 63.40, 12.30, 20884, 0
26/1/2021, 12:3:47, 43.220585, -2.017604, 9, 109, 887, 11.99, 1015.68, -88.44, 566, 25, 66.40, 12.10, 19976, 0
26/1/2021, 12:4:6, 43.220589, -2.017591, 9, 109, 895, 11.62, 1015.64, -88.07, 553, 23, 64.30, 11.70, 20106, 0
26/1/2021, 12:4:25, 43.220589, -2.017609, 9, 105, 908, 11.70, 1015.67, -88.32, 560, 24, 64.00, 11.30, 19999, 0
26/1/2021, 12:4:44, 43.220585, -2.017615, 9, 104, 920, 11.57, 1015.64, -88.11, 560, 24, 66.50, 11.50, 18807, 0
26/1/2021, 12:5:3, 43.220589, -2.017608, 9, 104, 915, 11.53, 1015.64, -88.06, 543, 21, 65.90, 11.30, 18895, 0
26/1/2021, 12:5:22, 43.220596, -2.017615, 9, 104, 45, 11.45, 1015.67, -88.37, 543, 21, 67.00, 11.00, 18959, 0
26/1/2021, 12:5:42, 43.220589, -2.017627, 9, 104, 57, 11.08, 1015.71, -88.64, 537, 20, 67.90, 11.00, 18933, 0
26/1/2021, 12:6:1, 43.220585, -2.017619, 10, 99, 66, 11.27, 1015.66, -88.29, 514, 17, 66.80, 11.20, 18853, 0
26/1/2021, 12:6:20, 43.220585, -2.017614, 10, 99, 74, 11.40, 1015.71, -88.64, 514, 17, 69.50, 11.10, 18757, 0
26/1/2021, 12:6:39, 43.220589, -2.017604, 10, 99, 81, 11.53, 1015.65, -88.16, 524, 18, 69.30, 10.90, 19045, 0
26/1/2021, 12:6:58, 43.220589, -2.017599, 10, 99, 95, 11.70, 1015.69, -88.47, 530, 19, 69.60, 11.00, 19342, 0
26/1/2021, 12:7:17, 43.220585, -2.017599, 10, 99, 105, 11.88, 1015.62, -87.92, 537, 20, 70.50, 11.10, 19361, 0
26/1/2021, 12:7:36, 43.220577, -2.017604, 10, 99, 118, 11.86, 1015.64, -88.08, 543, 21, 68.90, 11.20, 19134, 1
26/1/2021, 12:7:55, 43.220577, -2.017606, 10, 99, 128, 11.75, 1015.60, -87.75, 543, 21, 67.60, 11.40, 18904, 1
26/1/2021, 12:8:14, 43.220585, -2.017605, 9, 107, 139, 11.76, 1015.65, -88.21, 530, 19, 67.50, 11.60, 19115, 0
26/1/2021, 12:8:33, 43.220592, -2.017599, 9, 102, 146, 11.65, 1015.61, -87.87, 501, 15, 70.50, 11.50, 18899, 0
26/1/2021, 12:8:52, 43.220592, -2.017601, 10, 98, 53, 11.59, 1015.60, -87.79, 497, 14, 68.50, 11.10, 19040, 0
26/1/2021, 12:9:11, 43.220592, -2.017610, 10, 98, 66, 11.53, 1015.63, -87.99, 497, 14, 68.10, 11.10, 19468, 0
26/1/2021, 12:9:30, 43.220589, -2.017615, 10, 98, 79, 11.66, 1015.65, -88.14, 503, 15, 69.00, 10.90, 19911, 0
26/1/2021, 12:9:49, 43.220585, -2.017618, 10, 96, 85, 11.57, 1015.67, -88.37, 503, 15, 69.90, 10.90, 20317, 0
26/1/2021, 12:10:8, 43.220581, -2.017622, 10, 96, 91, 11.56, 1015.60, -87.80, 497, 14, 67.80, 10.80, 20539, 0
26/1/2021, 12:10:27, 43.220573, -2.017621, 9, 101, 109, 11.58, 1015.67, -88.36, 514, 17, 71.50, 10.80, 20914, 0
26/1/2021, 12:10:46, 43.220573, -2.017616, 10, 97, 117, 11.74, 1015.71, -88.72, 518, 17, 73.00, 10.80, 21038, 0
26/1/2021, 12:11:5, 43.220566, -2.017619, 10, 97, 131, 12.01, 1015.66, -88.26, 549, 22, 72.50, 10.90, 21729, 1
26/1/2021, 12:11:24, 43.220558, -2.017622, 10, 97, 142, 12.20, 1015.67, -88.53, 549, 22, 73.10, 11.10, 22109, 0
26/1/2021, 12:11:43, 43.220558, -2.017624, 10, 97, 152, 12.28, 1015.70, -88.58, 560, 24, 69.80, 11.30, 22443, 1
26/1/2021, 12:12:2, 43.220566, -2.017619, 10, 97, 157, 12.44, 1015.69, -88.49, 537, 20, 68.20, 11.50, 22295, 1
26/1/2021, 12:12:21, 43.220570, -2.017612, 10, 97, 170, 12.48, 1015.71, -88.64, 543, 21, 69.40, 11.70, 23589, 1
26/1/2021, 12:12:40, 43.220573, -2.017610, 10, 97, 186, 12.47, 1015.72, -88.78, 549, 22, 68.10, 11.90, 24550, 1
26/1/2021, 12:12:59, 43.220577, -2.017608, 10, 97, 194, 12.23, 1015.64, -88.10, 534, 20, 68.30, 12.20, 25596, 1
26/1/2021, 12:13:18, 43.220577, -2.017603, 10, 97, 202, 12.18, 1015.68, -88.44, 530, 19, 64.90, 12.50, 24126, 1
26/1/2021, 12:13:37, 43.220577, -2.017607, 10, 95, 210, 12.21, 1015.65, -88.18, 537, 20, 65.30, 12.30, 24104, 1
26/1/2021, 12:13:56, 43.220577, -2.017612, 10, 96, 224, 12.24, 1015.65, -88.20, 537, 20, 65.20, 12.50, 23280, 0
