FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
21/1/2021, 11:28:4, 43.220585, -2.017524, 8, 138, 201, 17.18, 998.72, 53.66, 531, 19, 48.80, 16.70, 17527, 41, 
21/1/2021, 11:28:23, 43.220592, -2.017534, 8, 138, 212, 16.97, 998.89, 52.22, 488, 13, 48.60, 16.60, 17486, 37, 
21/1/2021, 11:28:42, 43.220585, -2.017532, 7, 155, 227, 16.91, 999.20, 49.68, 445, 6, 48.80, 16.60, 17499, 39, 
21/1/2021, 11:29:1, 43.220581, -2.017533, 8, 154, 240, 16.90, 998.56, 55.08, 524, 18, 49.00, 16.60, 17425, 46, 
21/1/2021, 11:29:20, 43.220581, -2.017527, 8, 154, 250, 17.03, 998.55, 55.12, 560, 24, 48.90, 16.60, 17390, 45, 
21/1/2021, 11:29:39, 43.220589, -2.017526, 7, 140, 265, 17.32, 998.44, 56.09, 589, 28, 48.90, 16.60, 17322, 45, 
21/1/2021, 11:29:58, 43.220589, -2.017519, 7, 140, 274, 17.13, 998.67, 54.07, 533, 20, 48.70, 16.70, 17360, 39, 
21/1/2021, 11:30:17, 43.220577, -2.017538, 8, 141, 284, 17.02, 998.28, 57.37, 533, 20, 49.60, 16.80, 17412, 39, 
21/1/2021, 11:30:36, 43.220585, -2.017522, 8, 141, 297, 16.94, 998.24, 57.70, 524, 18, 49.30, 16.80, 17393, 46, 
21/1/2021, 11:30:55, 43.220585, -2.017540, 8, 141, 307, 17.07, 998.56, 55.06, 549, 22, 48.80, 16.60, 17328, 40, 
21/1/2021, 11:31:14, 43.220581, -2.017547, 8, 111, 318, 17.02, 998.50, 55.54, 549, 22, 49.10, 16.70, 17327, 42, 
21/1/2021, 11:31:33, 43.220577, -2.017543, 8, 111, 330, 16.97, 998.44, 56.02, 539, 21, 48.70, 16.60, 17194, 42, 
21/1/2021, 11:31:52, 43.220570, -2.017556, 7, 142, 344, 17.02, 998.38, 56.58, 564, 24, 48.60, 16.60, 17183, 41, 
21/1/2021, 11:32:11, 43.220566, -2.017546, 8, 143, 355, 17.00, 998.74, 53.56, 533, 20, 48.70, 16.60, 17241, 38, 
21/1/2021, 11:32:30, 43.220573, -2.017546, 8, 143, 368, 17.10, 998.31, 57.15, 545, 22, 49.00, 16.60, 17292, 39, 
21/1/2021, 11:32:49, 43.220573, -2.017530, 8, 144, 379, 17.10, 998.46, 55.84, 545, 22, 49.00, 16.70, 17276, 40, 
21/1/2021, 11:33:8, 43.220577, -2.017498, 8, 126, 390, 17.12, 998.43, 56.11, 533, 20, 48.90, 16.70, 17228, 46, 
21/1/2021, 11:33:27, 43.220570, -2.017514, 8, 113, 401, 17.08, 998.50, 55.51, 545, 22, 49.00, 16.70, 17191, 43, 
21/1/2021, 11:33:46, 43.220585, -2.017496, 8, 113, 407, 17.17, 998.47, 55.80, 555, 23, 49.00, 16.70, 17194, 37, 
21/1/2021, 11:34:5, 43.220585, -2.017486, 8, 113, 427, 17.23, 998.52, 55.35, 580, 27, 48.70, 16.80, 17189, 39, 
21/1/2021, 11:34:24, 43.220585, -2.017517, 8, 153, 438, 17.35, 998.50, 55.51, 600, 30, 48.60, 16.80, 17229, 39, 
21/1/2021, 11:34:43, 43.220577, -2.017529, 8, 146, 449, 17.31, 998.59, 54.83, 600, 30, 48.50, 16.80, 17308, 39, 
21/1/2021, 11:35:2, 43.220573, -2.017531, 8, 114, 462, 17.51, 998.59, 54.75, 623, 33, 48.30, 16.80, 17346, 37, 
21/1/2021, 11:35:21, 43.220566, -2.017534, 8, 114, 472, 17.37, 998.76, 53.35, 539, 21, 48.20, 16.80, 17336, 40, 
21/1/2021, 11:35:40, 43.220570, -2.017530, 8, 114, 474, 17.07, 998.42, 56.21, 548, 22, 48.70, 16.90, 17380, 40, 
21/1/2021, 11:35:59, 43.220573, -2.017542, 8, 114, 497, 17.11, 998.70, 53.88, 578, 27, 49.10, 16.90, 17480, 39, 
21/1/2021, 11:36:18, 43.220570, -2.017519, 8, 148, 508, 17.04, 998.89, 52.26, 553, 23, 48.70, 16.80, 17596, 39, 
21/1/2021, 11:36:37, 43.220577, -2.017502, 8, 128, 520, 17.04, 998.69, 53.94, 553, 23, 48.90, 16.80, 17596, 41, 
21/1/2021, 11:36:56, 43.220577, -2.017500, 8, 128, 530, 17.13, 998.55, 55.11, 581, 27, 49.00, 16.80, 17712, 46, 
21/1/2021, 11:37:15, 43.220581, -2.017501, 8, 128, 543, 17.15, 998.57, 54.95, 539, 21, 48.40, 16.70, 17772, 39, 
21/1/2021, 11:37:34, 43.220577, -2.017487, 8, 150, 554, 17.18, 998.53, 55.32, 581, 27, 48.80, 16.80, 17836, 39, 
21/1/2021, 11:37:53, 43.220585, -2.017482, 7, 162, 570, 17.09, 999.13, 50.22, 561, 24, 48.80, 16.70, 17920, 42, 
21/1/2021, 11:38:12, 43.220592, -2.017452, 8, 116, 580, 17.14, 998.48, 55.74, 586, 28, 48.70, 16.70, 17978, 40, 
21/1/2021, 11:38:31, 43.220596, -2.017438, 7, 151, 593, 17.01, 999.22, 49.47, 463, 9, 48.80, 16.80, 17513, 46, 
21/1/2021, 11:38:50, 43.220592, -2.017413, 8, 129, 605, 17.09, 998.67, 54.10, 539, 21, 48.80, 16.70, 17583, 37, 
21/1/2021, 11:39:9, 43.220608, -2.017398, 8, 152, 615, 17.07, 998.68, 54.06, 548, 22, 49.00, 16.80, 17604, 47, 
21/1/2021, 11:39:28, 43.220592, -2.017414, 8, 151, 624, 17.07, 998.51, 55.48, 545, 22, 48.80, 16.80, 17763, 46, 
21/1/2021, 11:39:47, 43.220581, -2.017469, 8, 200, 641, 17.20, 998.51, 55.46, 572, 26, 48.80, 16.80, 17776, 40, 
21/1/2021, 11:40:6, 43.220566, -2.017485, 8, 153, 653, 17.24, 998.42, 56.25, 567, 25, 48.70, 16.80, 17823, 43, 
21/1/2021, 11:40:25, 43.220577, -2.017497, 7, 153, 664, 17.17, 998.59, 54.58, 553, 23, 48.80, 16.90, 17873, 45, 
21/1/2021, 11:40:44, 43.220581, -2.017528, 8, 154, 677, 17.26, 998.58, 54.90, 586, 28, 48.70, 16.90, 17934, 39, 
21/1/2021, 11:41:3, 43.220577, -2.017564, 6, 200, 692, 17.29, 998.66, 54.23, 567, 25, 48.40, 16.80, 18002, 39, 
21/1/2021, 11:41:22, 43.220573, -2.017583, 8, 154, 693, 17.22, 998.46, 55.90, 578, 27, 48.60, 16.90, 18115, 40, 
21/1/2021, 11:41:41, 43.220566, -2.017597, 7, 200, 711, 17.20, 998.59, 54.76, 567, 25, 48.50, 16.80, 18324, 39, 
21/1/2021, 11:42:0, 43.220566, -2.017576, 8, 201, 721, 17.25, 998.35, 56.77, 578, 27, 48.70, 16.90, 18298, 40, 
21/1/2021, 11:42:19, 43.220566, -2.017563, 8, 156, 733, 17.55, 998.37, 56.67, 586, 28, 48.60, 16.80, 18319, 38, 
21/1/2021, 11:42:38, 43.220570, -2.017548, 7, 150, 745, 17.48, 998.47, 55.76, 599, 30, 48.70, 16.70, 18391, 41, 
21/1/2021, 11:42:57, 43.220570, -2.017547, 8, 149, 754, 17.50, 998.43, 56.12, 599, 30, 48.90, 17.00, 18483, 40, 
21/1/2021, 11:43:16, 43.220570, -2.017544, 6, 201, 776, 17.51, 997.95, 60.20, 581, 27, 48.40, 16.90, 18230, 39, 
21/1/2021, 11:43:35, 43.220577, -2.017539, 8, 157, 781, 17.35, 998.38, 56.59, 603, 30, 48.40, 16.80, 18087, 46, 
21/1/2021, 11:43:54, 43.220573, -2.017527, 8, 158, 791, 17.22, 998.45, 55.98, 581, 27, 48.80, 16.80, 18086, 39, 
21/1/2021, 11:44:13, 43.220554, -2.017541, 9, 120, 800, 17.35, 998.30, 57.26, 599, 30, 48.70, 16.80, 18075, 39, 
21/1/2021, 11:44:32, 43.220551, -2.017541, 9, 120, 814, 17.29, 998.34, 56.89, 603, 30, 48.80, 16.80, 17992, 46, 
21/1/2021, 11:44:51, 43.220543, -2.017550, 9, 148, 826, 17.29, 998.34, 56.92, 572, 26, 48.90, 16.90, 17946, 35, 
21/1/2021, 11:45:10, 43.220551, -2.017560, 8, 148, 841, 17.32, 998.34, 56.91, 578, 27, 49.00, 16.90, 17887, 39, 
21/1/2021, 11:45:30, 43.220566, -2.017566, 9, 110, 849, 17.41, 998.40, 56.35, 603, 30, 48.90, 17.00, 17920, 40, 
21/1/2021, 11:45:49, 43.220558, -2.017574, 9, 142, 861, 17.58, 998.20, 58.07, 599, 30, 48.70, 17.00, 17908, 39, 
21/1/2021, 11:46:8, 43.220554, -2.017566, 8, 142, 872, 17.33, 998.42, 56.96, 548, 22, 48.40, 16.90, 17740, 43, 
21/1/2021, 11:46:27, 43.220566, -2.017547, 8, 148, 887, 17.25, 998.29, 57.30, 553, 23, 48.70, 16.90, 17654, 46, 
21/1/2021, 11:46:46, 43.220570, -2.017535, 9, 141, 896, 17.32, 998.32, 57.12, 567, 25, 48.50, 16.90, 17575, 39, 
21/1/2021, 11:47:5, 43.220577, -2.017534, 8, 147, 909, 17.23, 998.29, 57.29, 523, 18, 48.80, 17.00, 17432, 40, 
21/1/2021, 11:47:24, 43.220573, -2.017540, 9, 161, 922, 17.33, 998.19, 58.12, 592, 29, 48.80, 17.00, 17283, 39, 
21/1/2021, 11:47:43, 43.220570, -2.017534, 8, 122, 933, 17.25, 998.29, 57.35, 567, 25, 48.30, 17.00, 17212, 39, 
21/1/2021, 11:48:2, 43.220558, -2.017531, 9, 162, 52, 17.27, 998.62, 54.52, 553, 23, 48.50, 17.00, 17173, 43, 
